"PP10m","PP5m","PP3m","PP1m","FF10m","FF5m","FF3m","FF1m"
215063.322345364,107531.346164406,65009.1928010705,22149.0996780989,1566.72625090949,1729.28805725187,1604.16523836644,1145.76268711083
107531.346164406,109316.848614203,65637.4042921284,22333.4804613063,1728.46191257698,1784.25755925766,1642.95556731354,891.152800611591
65009.1928010705,65637.4042921284,67428.2596742545,22751.3038869813,1602.37727827504,1642.54684880275,1888.74737073852,1391.93843283407
22149.0996780989,22333.4804613063,22751.3038869813,23544.7291549158,1143.09976536053,890.364356172691,1391.50460803952,810.302952179574
1566.72625090949,1728.46191257698,1602.37727827504,1143.09976536053,215056.818341274,107529.976105283,65011.1722958121,22150.7047745365
1729.28805725187,1784.25755925766,1642.54684880275,890.364356172691,107529.976105283,109311.349387452,65634.7037473747,22334.6249827389
1604.16523836644,1642.95556731354,1888.74737073852,1391.50460803952,65011.1722958121,65634.7037473747,67425.2527759798,22751.033800167
1145.76268711083,891.152800611591,1391.93843283407,810.302952179574,22150.7047745365,22334.6249827389,22751.033800167,23543.9923268107


-572.481381131127,-286.09897883104,-173.089597463114,-58.5181657564615,594.053860652267,298.422823670315,179.741301518234,60.5219658388456


28792
